ufa_player_id,norm_name,club,n_evidence,evidence
alantz,asher lantz,,3,city:chicago;seattle jersey:96 years:4
alaviolet,allan laviolette,,3,city:raleigh jersey:11;26 years:4
alearned,aylen learned,,3,city:colorado jersey:1;66 years:2
alewis,ashton lewis,,2,city:dallas years:1
alomen,aiden lomen,,1,years:2
alord,andrew lord,,3,city:dallas jersey:40 years:1
amagee,aidan magee,,3,city:philadelphia jersey:41 years:1
amaloney,andrew maloney,,3,city:dallas jersey:10 years:1
amathena,alec mathena,,1,years:1
amcadams,aaron mcadams,,1,years:1
amcclure,alex mcclure,,2,city:indianapolis years:1
amckelvey,andrew mckelvey,,3,city:raleigh jersey:30 years:4
amclean,anthony mclean,,2,jersey:32 years:1
amcnichol,adam mcnichols,,2,jersey:34 years:3
amerriman,aj merriman,,1,years:6
ameshnick,andrew meshnick,,1,city:madison
amichel,allan michel,,3,city:philadelphia jersey:23 years:5
amullen,alex mullen,,3,city:pittsburgh jersey:54 years:3
amuller,andrew muller,,3,city:colorado jersey:32 years:3
amuraoka,akifumi muraoka,,2,city:toronto jersey:1;3
andovu,allan ndovu,,1,jersey:1
anovak,adam novak,,2,city:philadelphia years:1
aodonnell,adam odonnell,,3,city:toronto jersey:61 years:3
aolcese,angelo olcese,,3,city:new york jersey:22 years:4
aolsen,anders olsen,,2,city:boston years:1
aolson,axel olson,,3,city:seattle jersey:29 years:1
aorme,anton orme,,3,city:oakland jersey:75 years:1
aouchterl,andrew ouchterlony,,2,jersey:43 years:1
apadula,andrew padula,,2,jersey:9 years:3
apark,adam park,,2,jersey:12 years:1
apaulus,ashton paulus,,3,city:oakland jersey:13 years:1
apestritt,angelo pestritto,,2,jersey:41 years:1
apien,alex pien,,2,jersey:4 years:2
apillsbur,andrew pillsbury,,2,city:boston years:1
apiper,alex piper,,2,city:colorado years:2
aprato,anthony prato,,3,city:philadelphia jersey:11 years:1
araslan,adnan raslan,,1,years:1
arees,adam rees,,2,city:oakland years:2
areppermu,anson reppermund,,3,city:pittsburgh jersey:6 years:4
areyes,alejandro reyes,,2,city:san diego jersey:2
ariegel,austin riegel,,2,jersey:9 years:2
arodrigue,andres rodriguez,,1,years:4
aroney,andrew roney,,3,city:tampa bay jersey:3 years:1
arosentha,aaron rosenthal,,2,jersey:1 years:4
arousseau,antoine rousseau,,3,city:montreal jersey:38 years:5
aroy,andrew roy,,2,jersey:32 years:6
arudy,aiden rudy,,2,jersey:45 years:2
arueda,antonio rueda,,1,years:4
aschwiete,aaron schwieterman,,2,jersey:54 years:2
asehgal,araav sehgal,,3,city:toronto jersey:77 years:3
aseibert,andrew seibert,,3,city:philadelphia jersey:87 years:1
ashklar,abe shklar,,2,city:san diego years:1
asimon,adam simon,,3,city:seattle jersey:10 years:2
asjogren,andrew sjogren,,2,city:chicago years:6
astautber,adam stautberg,,2,jersey:20 years:1
astevenso,alex stevenson,,1,years:1
atatum,alex tatum,,3,city:colorado jersey:99 years:1
ataylor,austin taylor,,3,city:atlanta jersey:2 years:4
ataylor2,avi taylor,,3,city:oregon jersey:0 years:2
athai,andrew thai,,2,city:atlanta years:5
athoennes,andrew thoennes,,1,years:1
aturcotte,adam turcotte,,3,city:toronto jersey:92 years:5
avandeber,andrew vande berg,,2,jersey:73 years:5
avanderge,alex van der geest,,2,jersey:17 years:1
avinson,adam vinson,,2,jersey:13 years:2
awarringt,alex warrington,,3,city:pittsburgh jersey:99 years:4
awatts,andrew watts,,1,city:toronto
aweaver,aaron weaver,,1,jersey:18
awhitton,adam whitton,,2,jersey:89;99 years:2
awilcox,xander wilcox,,2,jersey:35 years:3
awilsonho,alec wilson holliday,,2,jersey:10 years:4
awolf,aaron wolf,,2,city:seattle years:2
awulkan,adam wulkan,,3,city:oakland jersey:3 years:2
ayearwood,adrian yearwood,,1,city:toronto
ayuan,albert yuan,,3,city:boston jersey:32 years:3
ayurchak,andrew yurchak,,2,city:pittsburgh years:1
badams1,brendan adams,,2,city:houston years:2
badibe,brandon adibe,,3,city:ottawa jersey:0;12 years:4
ballahdad,bram allahdadi,,3,city:oregon jersey:33 years:1
battal,benjamin attal,,3,city:pittsburgh jersey:19 years:3
bbaird,ben baird,,3,city:madison jersey:26 years:1
bbeers,brandon beers,,2,city:atlanta years:1
bbergmeie,bret bergmeier,,2,jersey:0 years:6
bbogel,brendan bogel,,2,city:seattle jersey:95
bbrink,ben brink,,3,city:chicago jersey:30 years:1
bdameron,ben dameron,,2,city:new york years:2
bdistel,braden distel,,2,jersey:72 years:2
bdobson,brody dobson,,1,years:1
bdowney,bryan downey,,2,jersey:36 years:4
bdunbar,bryan dunbar,,2,jersey:44 years:1
bdunn,brice dunn,,3,city:philadelphia jersey:33;6 years:1
beberhard,braden eberhard,,2,city:boston;salt lake years:4
bellis,brad ellis,,1,years:1
bfein,brandon fein,,2,city:oakland jersey:8
bfield,ben field,,1,jersey:9
bfleming,bradley fleming,,3,city:atlanta jersey:34 years:5
bgeorge,brent george,,2,jersey:3 years:1
bgessner,brendan gessner,,2,jersey:24 years:4
bgfroerer,brian gfroerer,,3,city:austin;houston jersey:25 years:2
bgreenber,ben greenberg,,1,years:1
bharris,ben harris,,1,jersey:7
bhart,brian hart,,1,city:madison
bhidaka,brett hidaka,,1,years:1
bhulsmeye,brett hulsmeyer,,3,city:atlanta jersey:6 years:6
bjensen,brock jensen,,1,years:1
bjordan,brandon jordan,,2,jersey:15 years:1
bjordan1,blake jordan,,1,jersey:23
bjoseph,becker joseph,,2,city:philadelphia years:1
